year;Médiane;Médiane privé;Médiane public;ARTE;BFM TV;Canal+;Canal+ Sport;D8/C8;France 2;France 3;I-Télé/CNews;L'Equipe 21;La chaîne Météo;M6;NRJ 12;Paris Première;TF1;W9
2010;28.456111604983025;29.061639988871633;28.142902344571496;28.142902344571496;38.657280543057546;21.51190904161979;5.9729542393806625;;28.456111604983025;29.843796534996375;38.460709798007045;;31.1698082315849;39.40278529924919;30.924828451550805;24.8360790899738;32.37882301327677;30.842987322969794
2015;30.55360313500899;29.246557655631925;31.310921204346414;28.28387072896389;33.62418908900725;21.536859698528914;4.912640341606156;27.52428421354578;36.21095447112758;30.12688868732587;35.194313306282474;14.67981642582165;13.614501475083967;40.63813091743655;33.06013299617276;21.017236450710435;35.346751840792244;36.93924232991307
2019;32.88088234752422;31.13162002237535;36.59444859593734;32.8164656046445;34.23135499531699;22.70213656101075;5.136650864163029;29.815084489420546;38.918406967043744;35.906998140221205;31.261062181726796;14.277578618314168;13.714682401351098;43.684264132999736;31.217332712983698;25.80695850647196;41.98504626761073;35.75575523439771
