year;Médiane;Médiane privé;Médiane public;Chérie FM;France Culture;France Info;France Inter;NRJ;Nostalgie;RFM;RMC;RTL;Skyrock
1995;24.82399091871768;;24.82399091871768;;26.493306730156824;21.084562721312615;23.154675107278536;;;;;;
2000;26.867927391622132;;26.867927391622132;;26.54346912100846;25.447945975599907;25.435155384077795;;;;;;
2005;26.125757130707978;25.023703759212772;26.197003671871666;45.45162674591405;23.798155390433095;26.515004828604393;25.87900251513894;21.009304528212656;27.86991268134366;36.905782639667265;19.758080932435888;26.372511746277016;18.17789463257266
2010;29.42152760986765;28.466356860414805;29.993973470770094;48.06286688394447;28.185049562973713;29.42152760986765;30.566419331672535;27.82591050495905;30.991078195360284;31.45320696076809;17.182985154584664;26.086052011491663;18.31114610163962
2015;31.12034338764448;28.902194111730097;33.84550392296675;51.22796481514281;31.12034338764448;30.217628159967596;34.48039058626382;27.28895979782732;38.12403936532441;32.392987001697946;17.667537924451263;28.92310047991458;15.502532662385333
2019;34.34310229103097;33.54892900920649;34.34310229103097;48.675315574656416;34.789278609078;29.186492114868617;34.34310229103097;23.599100323152644;36.49080550498661;34.626478819031604;17.332148549823128;31.431721709202954;14.9102143383857
